IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 001: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 002: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 003: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 004: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 005: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 006: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 007: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 008: This is number 5 | confidence 76% | expected 5 | CORRECT
IMG 009: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 010: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 011: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 012: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 013: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 014: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 015: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 016: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 017: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 018: NOT A NUMBER | confidence 20% | expected 3 | TRASH
IMG 019: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 020: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 021: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 022: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 023: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 024: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 025: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 026: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 027: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 028: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 029: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 030: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 031: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 032: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 033: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 034: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 035: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 036: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 037: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 038: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 039: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 040: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 041: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 042: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 043: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 044: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 045: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 046: This is number 1 | confidence 93% | expected 1 | CORRECT
IMG 047: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 048: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 049: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 050: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 051: This is number 3 | confidence 90% | expected 3 | CORRECT
IMG 052: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 053: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 054: This is number 6 | confidence 90% | expected 6 | CORRECT
IMG 055: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 056: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 057: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 058: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 059: This is number 5 | confidence 83% | expected 5 | CORRECT
IMG 060: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 061: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 062: This is number 9 | confidence 75% | expected 9 | CORRECT
IMG 063: This is number 3 | confidence 80% | expected 3 | CORRECT
IMG 064: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 065: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 066: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 067: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 068: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 069: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 070: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 071: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 072: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 073: NOT A NUMBER | confidence 25% | expected 9 | TRASH
IMG 074: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 075: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 076: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 077: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 078: This is number 9 | confidence 84% | expected 9 | CORRECT
IMG 079: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 080: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 081: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 082: This is number 2 | confidence 94% | expected 2 | CORRECT
IMG 083: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 084: This is number 8 | confidence 92% | expected 8 | CORRECT
IMG 085: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 086: This is number 7 | confidence 93% | expected 7 | CORRECT
IMG 087: This is number 3 | confidence 91% | expected 3 | CORRECT
IMG 088: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 089: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 090: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 091: This is number 6 | confidence 94% | expected 6 | CORRECT
IMG 092: This is number 9 | confidence 80% | expected 9 | CORRECT
IMG 093: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 094: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 095: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 096: This is number 1 | confidence 84% | expected 1 | CORRECT
IMG 097: This is number 7 | confidence 91% | expected 7 | CORRECT
IMG 098: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 099: This is number 9 | confidence 94% | expected 9 | CORRECT
IMG 100: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 101: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 102: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 103: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 104: This is number 9 | confidence 90% | expected 9 | CORRECT
IMG 105: This is number 9 | confidence 87% | expected 9 | CORRECT
IMG 106: This is number 2 | confidence 93% | expected 2 | CORRECT
IMG 107: This is number 1 | confidence 89% | expected 1 | CORRECT
IMG 108: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 109: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 110: This is number 8 | confidence 93% | expected 8 | CORRECT
IMG 111: This is number 7 | confidence 89% | expected 7 | CORRECT
IMG 112: This is number 3 | confidence 93% | expected 3 | CORRECT
IMG 113: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 114: This is number 7 | confidence 93% | expected 7 | CORRECT
