IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 001: This is number 2 | confidence 92% | expected 2 | CORRECT
IMG 002: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 003: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 004: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 005: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 006: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 007: This is number 9 | confidence 89% | expected 9 | CORRECT
IMG 008: This is number 5 | confidence 76% | expected 5 | CORRECT
IMG 009: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 010: This is number 0 | confidence 91% | expected 0 | CORRECT
IMG 011: This is number 6 | confidence 93% | expected 6 | CORRECT
IMG 012: This is number 9 | confidence 92% | expected 9 | CORRECT
IMG 013: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 014: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 015: This is number 5 | confidence 92% | expected 5 | CORRECT
IMG 016: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 017: This is number 7 | confidence 94% | expected 7 | CORRECT
