corner       wns(ns)    tns(ns)    wrst_slack     min_per(ns)   fmax(MHz)  power(W)     area(um2)   
ss_100C_1v40 0.0000     0.0000     316.6999       582.8287      1.7        8.25e-04     0.0         
ss_100C_1v60 0.0000     0.0000     478.3301       421.1985      2.4        1.19e-03     0.0         
ss_n40C_1v44 0.0000     0.0000     0.0500         899.4786      1.1        4.13e-04     0.0         
tt_025C_1v80 0.0000     0.0000     653.5722       245.9564      4.1        7.38e-04     0.0         
tt_100C_1v80 0.0000     0.0000     674.0347       225.4939      4.4        8.95e-04     0.0         
ff_100C_1v65 0.0000     0.0000     703.9665       195.5621      5.1        1.29e-03     0.0         
ff_100C_1v95 0.0000     0.0000     749.1625       150.3661      6.7        2.07e-03     0.0         
ff_n40C_1v76 0.0000     0.0000     695.3643       204.1643      4.9        6.85e-04     0.0         

DESIGN_FMAX 1.1 MHz  (min period 909.0909 ns; limiting corner ss_n40C_1v44)
