corner       wns(ns)    tns(ns)    wrst_slack     min_per(ns)   fmax(MHz)  power(W)     area(um2)   
ss_100C_1v40 -572.8287  -4535301.5000 -572.8287      582.8287      1.7        3.84e-02     0.0         
ss_100C_1v60 -411.1985  -3085873.2500 -411.1985      421.1985      2.4        5.32e-02     0.0         
ss_n40C_1v44 -889.4786  -7413894.0000 -889.4786      899.4786      1.1        3.71e-02     0.0         
tt_025C_1v80 -235.9564  -1722255.7500 -235.9564      245.9564      4.1        6.63e-02     0.0         
tt_100C_1v80 -215.4939  -1589911.3750 -215.4939      225.4939      4.4        6.86e-02     0.0         
ff_100C_1v65 -185.5621  -1325512.5000 -185.5621      195.5621      5.1        5.77e-02     0.0         
ff_100C_1v95 -140.3661  -972919.5625 -140.3661      150.3661      6.7        8.46e-02     0.0         
ff_n40C_1v76 -194.1642  -1319836.8750 -194.1642      204.1642      4.9        6.16e-02     0.0         

DESIGN_FMAX 1.1 MHz  (min period 909.0909 ns; limiting corner ss_n40C_1v44)
