corner       wns(ns)    tns(ns)    wrst_slack     min_per(ns)   fmax(MHz)  power(W)     area(um2)   
ss_100C_1v40 0.0000     0.0000     27.7379        81.2299       12.3       1.52e-03     0.0         
ss_100C_1v60 0.0000     0.0000     54.5108        54.4570       18.4       2.06e-03     0.0         
ss_n40C_1v44 0.0000     0.0000     0.0500         108.9178      9.2        1.45e-03     0.0         
tt_025C_1v80 0.0000     0.0000     82.2678        26.7000       37.5       2.50e-03     0.0         
tt_100C_1v80 0.0000     0.0000     83.2393        25.7285       38.9       2.67e-03     0.0         
ff_100C_1v65 0.0000     0.0000     89.7857        19.1821       52.1       2.23e-03     0.0         
ff_100C_1v95 0.0000     0.0000     94.2897        14.6781       68.1       3.32e-03     0.0         
ff_n40C_1v76 0.0000     0.0000     90.3367        18.6311       53.7       2.29e-03     0.0         

DESIGN_FMAX 9.2 MHz  (min period 108.6957 ns; limiting corner ss_n40C_1v44)
