corner       wns(ns)    tns(ns)    wrst_slack     min_per(ns)   fmax(MHz)  power(W)     area(um2)   
ss_100C_1v40 -61.2299   -18546.3262 -61.2299       81.2299       12.3       7.99e-03     0.0         
ss_100C_1v60 -34.4570   -4716.2769 -34.4570       54.4570       18.4       1.09e-02     0.0         
ss_n40C_1v44 -88.9178   -37441.4727 -88.9178       108.9178      9.2        7.83e-03     0.0         
tt_025C_1v80 -6.7000    -206.8755  -6.7000        26.7000       37.5       1.36e-02     0.0         
tt_100C_1v80 -5.7285    -160.5954  -5.7285        25.7285       38.9       1.45e-02     0.0         
ff_100C_1v65 0.0000     0.0000     0.8179         19.1821       52.1       1.18e-02     0.0         
ff_100C_1v95 0.0000     0.0000     5.3219         14.6781       68.1       1.74e-02     0.0         
ff_n40C_1v76 0.0000     0.0000     1.3689         18.6311       53.7       1.25e-02     0.0         

DESIGN_FMAX 9.2 MHz  (min period 108.6957 ns; limiting corner ss_n40C_1v44)
