FAIL P-MAC-001: mac_z after bias load: got=0x00000000 want=0x00000064 @66000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00000027 @86000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x0000001b @96000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x0000009a @106000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x0000009a @116000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007f7f @136000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @146000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @156000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @166000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @176000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @186000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @196000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @206000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @216000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @226000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @236000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @246000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @256000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @266000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @276000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @286000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @296000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @306000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @316000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @326000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @336000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @346000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @356000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @366000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @376000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @386000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @396000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @406000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @416000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @426000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @436000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @446000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @456000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @466000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @476000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @486000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @496000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @506000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @516000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @526000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @536000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @546000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @556000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @566000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @576000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @586000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @596000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @606000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @616000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @626000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @636000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @646000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @656000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @666000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @676000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @686000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @696000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @706000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @716000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @726000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @736000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @746000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @756000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @766000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @776000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @786000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @796000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @806000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @816000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @826000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @836000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @846000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @856000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @866000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @876000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @886000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @896000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @906000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @916000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @926000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @936000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @946000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @956000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @966000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @976000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @986000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @996000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1006000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1016000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1026000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1036000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1046000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1056000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1066000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1076000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1086000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1096000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1106000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1116000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1126000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1136000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1146000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1156000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1166000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1176000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1186000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1196000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1206000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1216000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1226000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1236000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1246000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1256000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1266000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1276000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1286000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1296000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1306000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1316000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1326000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1336000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1346000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1356000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1366000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1376000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1386000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1396000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1406000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1416000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1426000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1436000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1446000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1456000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1466000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1476000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1486000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1496000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1506000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1516000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1526000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1536000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1546000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1556000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1566000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1576000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1586000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1596000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1606000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1616000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1626000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1636000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1646000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1656000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1666000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1676000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1686000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1696000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1706000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1716000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1726000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1736000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1746000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1756000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1766000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1776000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1786000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1796000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1806000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1816000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1826000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1836000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1846000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1856000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1866000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1876000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1886000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1896000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1906000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1916000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1926000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1936000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1946000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1956000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1966000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1976000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1986000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @1996000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2006000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2016000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2026000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2036000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2046000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2056000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2066000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2076000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2086000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2096000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2106000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2116000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2126000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2136000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2146000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2156000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2166000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2176000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2186000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2196000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2206000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2216000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2226000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2236000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2246000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2256000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2266000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2276000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2286000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2296000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2306000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2316000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2326000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2336000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2346000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2356000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2366000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2376000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2386000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2396000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2406000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2416000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2426000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2436000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2446000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2456000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2466000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2476000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2486000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2496000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2506000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2516000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2526000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2536000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2546000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2556000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2566000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2576000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2586000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2596000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2606000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2616000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2626000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2636000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2646000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2656000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2666000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2676000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2686000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2696000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2706000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2716000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2726000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2736000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2746000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2756000
FAIL 001: mac_z after accumulate step: got=0x00000000 want=0x00007fff @2766000
