IMG 000: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 001: This is number 2 | confidence 90% | expected 2 | CORRECT
IMG 002: This is number 1 | confidence 91% | expected 1 | CORRECT
IMG 003: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 004: This is number 4 | confidence 91% | expected 4 | CORRECT
IMG 005: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 006: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 007: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 008: NOT A NUMBER | confidence 42% | expected 5 | TRASH
IMG 009: This is number 9 | confidence 88% | expected 9 | CORRECT
IMG 010: This is number 0 | confidence 92% | expected 0 | CORRECT
IMG 011: This is number 6 | confidence 90% | expected 6 | CORRECT
IMG 012: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 013: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 014: This is number 1 | confidence 94% | expected 1 | CORRECT
IMG 015: This is number 5 | confidence 91% | expected 5 | CORRECT
IMG 016: This is number 9 | confidence 93% | expected 9 | CORRECT
IMG 017: This is number 7 | confidence 94% | expected 7 | CORRECT
IMG 018: This is number 3 | confidence 79% | expected 3 | CORRECT
IMG 019: This is number 4 | confidence 93% | expected 4 | CORRECT
IMG 020: This is number 9 | confidence 91% | expected 9 | CORRECT
IMG 021: This is number 6 | confidence 92% | expected 6 | CORRECT
IMG 022: This is number 6 | confidence 85% | expected 6 | CORRECT
IMG 023: This is number 5 | confidence 93% | expected 5 | CORRECT
IMG 024: This is number 4 | confidence 92% | expected 4 | CORRECT
IMG 025: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 026: This is number 7 | confidence 90% | expected 7 | CORRECT
IMG 027: This is number 4 | confidence 94% | expected 4 | CORRECT
IMG 028: This is number 0 | confidence 93% | expected 0 | CORRECT
IMG 029: This is number 1 | confidence 92% | expected 1 | CORRECT
IMG 030: This is number 3 | confidence 92% | expected 3 | CORRECT
IMG 031: This is number 1 | confidence 91% | expected 1 | CORRECT
